actor_login,event_type,actor_url,num_events,total_events,num_events_pct,num_events_log,num_events_pct_log
GustavoRPS,WatchEvent,https://api.github.com/users/GustavoRPS,1,39977,2.5014383270380468e-05,0,-11
Guzpenha,WatchEvent,https://api.github.com/users/Guzpenha,1,39977,2.5014383270380468e-05,0,-11
HB4daemmon,WatchEvent,https://api.github.com/users/HB4daemmon,1,39977,2.5014383270380468e-05,0,-11
HBkunn,IssueCommentEvent,https://api.github.com/users/HBkunn,2,39977,5.0028766540760936e-05,1,-10
HBkunn,IssuesEvent,https://api.github.com/users/HBkunn,6,39977,0.00015008629962228281,2,-9
HBkunn,WatchEvent,https://api.github.com/users/HBkunn,1,39977,2.5014383270380468e-05,0,-11
HHself,IssueCommentEvent,https://api.github.com/users/HHself,1,39977,2.5014383270380468e-05,0,-11
HKingz,ForkEvent,https://api.github.com/users/HKingz,1,39977,2.5014383270380468e-05,0,-11
HKingz,WatchEvent,https://api.github.com/users/HKingz,1,39977,2.5014383270380468e-05,0,-11
HLinn,ForkEvent,https://api.github.com/users/HLinn,1,39977,2.5014383270380468e-05,0,-11
HPI-DeepLearning,ForkEvent,https://api.github.com/users/HPI-DeepLearning,1,39977,2.5014383270380468e-05,0,-11
HQ01,ForkEvent,https://api.github.com/users/HQ01,2,39977,5.0028766540760936e-05,1,-10
HQ01,WatchEvent,https://api.github.com/users/HQ01,1,39977,2.5014383270380468e-05,0,-11
HRLTY,WatchEvent,https://api.github.com/users/HRLTY,1,39977,2.5014383270380468e-05,0,-11
HTDZ,ForkEvent,https://api.github.com/users/HTDZ,2,39977,5.0028766540760936e-05,1,-10
HTNecro,WatchEvent,https://api.github.com/users/HTNecro,1,39977,2.5014383270380468e-05,0,-11
HYSkyline,WatchEvent,https://api.github.com/users/HYSkyline,1,39977,2.5014383270380468e-05,0,-11
HZCRV,ForkEvent,https://api.github.com/users/HZCRV,1,39977,2.5014383270380468e-05,0,-11
Hades210,ForkEvent,https://api.github.com/users/Hades210,1,39977,2.5014383270380468e-05,0,-11
HaiQW,WatchEvent,https://api.github.com/users/HaiQW,1,39977,2.5014383270380468e-05,0,-11
HairyFotr,WatchEvent,https://api.github.com/users/HairyFotr,1,39977,2.5014383270380468e-05,0,-11
HaisongDing,ForkEvent,https://api.github.com/users/HaisongDing,1,39977,2.5014383270380468e-05,0,-11
Halo9Pan,WatchEvent,https://api.github.com/users/Halo9Pan,1,39977,2.5014383270380468e-05,0,-11
HaloWang,WatchEvent,https://api.github.com/users/HaloWang,1,39977,2.5014383270380468e-05,0,-11
HanYouyang,WatchEvent,https://api.github.com/users/HanYouyang,1,39977,2.5014383270380468e-05,0,-11
HaniGitHub,WatchEvent,https://api.github.com/users/HaniGitHub,1,39977,2.5014383270380468e-05,0,-11
Hao-Tju,ForkEvent,https://api.github.com/users/Hao-Tju,1,39977,2.5014383270380468e-05,0,-11
Hao-Tju,WatchEvent,https://api.github.com/users/Hao-Tju,1,39977,2.5014383270380468e-05,0,-11
Haoyi-Ji,WatchEvent,https://api.github.com/users/Haoyi-Ji,1,39977,2.5014383270380468e-05,0,-11
HappySky2046,ForkEvent,https://api.github.com/users/HappySky2046,1,39977,2.5014383270380468e-05,0,-11
HappyStorm,WatchEvent,https://api.github.com/users/HappyStorm,1,39977,2.5014383270380468e-05,0,-11
Hardervidertsie,WatchEvent,https://api.github.com/users/Hardervidertsie,1,39977,2.5014383270380468e-05,0,-11
HaroldZ,ForkEvent,https://api.github.com/users/HaroldZ,1,39977,2.5014383270380468e-05,0,-11
HaroldZ,WatchEvent,https://api.github.com/users/HaroldZ,1,39977,2.5014383270380468e-05,0,-11
Harrd,WatchEvent,https://api.github.com/users/Harrd,1,39977,2.5014383270380468e-05,0,-11
HatsuneMoe,WatchEvent,https://api.github.com/users/HatsuneMoe,1,39977,2.5014383270380468e-05,0,-11
Hatuw,IssuesEvent,https://api.github.com/users/Hatuw,1,39977,2.5014383270380468e-05,0,-11
HaveF,WatchEvent,https://api.github.com/users/HaveF,1,39977,2.5014383270380468e-05,0,-11
Hayeke,WatchEvent,https://api.github.com/users/Hayeke,1,39977,2.5014383270380468e-05,0,-11
Hazem-azim,ForkEvent,https://api.github.com/users/Hazem-azim,1,39977,2.5014383270380468e-05,0,-11
Hazem-azim,IssueCommentEvent,https://api.github.com/users/Hazem-azim,1,39977,2.5014383270380468e-05,0,-11
HeGaoYuan,WatchEvent,https://api.github.com/users/HeGaoYuan,1,39977,2.5014383270380468e-05,0,-11
Heavy02011,ForkEvent,https://api.github.com/users/Heavy02011,1,39977,2.5014383270380468e-05,0,-11
Hebali,ForkEvent,https://api.github.com/users/Hebali,2,39977,5.0028766540760936e-05,1,-10
Hebali,PullRequestEvent,https://api.github.com/users/Hebali,2,39977,5.0028766540760936e-05,1,-10
Heipiao,ForkEvent,https://api.github.com/users/Heipiao,1,39977,2.5014383270380468e-05,0,-11
Helpper,ForkEvent,https://api.github.com/users/Helpper,1,39977,2.5014383270380468e-05,0,-11
HenryZhou7,WatchEvent,https://api.github.com/users/HenryZhou7,1,39977,2.5014383270380468e-05,0,-11
Hermes777,IssueCommentEvent,https://api.github.com/users/Hermes777,1,39977,2.5014383270380468e-05,0,-11
Hexiang-Hu,ForkEvent,https://api.github.com/users/Hexiang-Hu,1,39977,2.5014383270380468e-05,0,-11
Hexiang-Hu,WatchEvent,https://api.github.com/users/Hexiang-Hu,1,39977,2.5014383270380468e-05,0,-11
HeyMoon,WatchEvent,https://api.github.com/users/HeyMoon,1,39977,2.5014383270380468e-05,0,-11
HeyYb,WatchEvent,https://api.github.com/users/HeyYb,1,39977,2.5014383270380468e-05,0,-11
